Carimbo de data/hora,Idade:,Género:,Profissão:,Quais eram os seus principais objetivos quando se inscreveu no ginásio?,O que é que o levou a escolher o Liberty Fitness Center? (de entre os diferentes centros de fitness em que se ponderou inscrever).,O que é que mais valoriza no Liberty Fitness Center?,"Se frequenta as aulas de grupo, quais são as suas favoritas?",Quais destas redes social / plataformas online que costuma utilizar?,Como é que nos conheceu?,"De 1 a 10, com base na sua satisfação, qual seria a probabilidade de indicar o nosso Fitness Center a um amigo?"
2023/07/31 18:30:02,52,Feminino,Esteticista ,"Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular",Localização ,Horários das aulas de grupo,"Localizada, pilates e crossfit ","Instagram, Facebook, TikTok, WhatsApp, Google",Parceiros,8
2023/07/31 18:30:20,40,,Fisioterapeuta ,"Perder peso, Aumentar a flexibilidade, Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular, Melhorar a autoestima",Estava inscrita desde a avenida ,"Horários das aulas de grupo, Hábito","Body Pump, cycling, pilates, cross","Instagram, WhatsApp, Twitter",Na avenida era próximo do trabalho ,4
2023/07/31 18:30:50,38,Masculino,Enfermeiro,"Recuperar a mobilidade, Previnir problemas de saúde, Aumentar a massa muscular",,"Pouco tempo de espera para usar as máquinas, Horários das aulas de grupo, Simpatia do staff",Cross training,,,7
2023/07/31 18:30:50,27,Masculino,Estudante,"Aumentar a massa muscular, Melhorar a autoestima",Qualidade dos profissionais ,"Estacionamento gratuito, Número de máquinas, Dimensão do espaço, Condições dos balneários, Simpatia do staff, Presença de PTs e professores",,"Instagram, WhatsApp",Recomendação de um amigo,10
2023/07/31 18:31:08,33,Masculino,Eng. de Software,"Perder peso, Recuperar a mobilidade, Previnir problemas de saúde, Aumentar a massa muscular",Proximidade e protocolo com a empresa,"Estacionamento gratuito, Dimensão do espaço, Pouco tempo de espera para usar as máquinas, Simpatia do staff",,"WhatsApp, Google",Parceiros,8
2023/07/31 18:32:12,48,Feminino,fotografa,"Aumentar a flexibilidade, Previnir problemas de saúde, Aumentar a massa muscular",Localização e preço,"Estacionamento gratuito, Número de máquinas, Dimensão do espaço, Horários das aulas de grupo, Simpatia do staff, Presença de PTs e professores",pilates e cycling,"Instagram, WhatsApp, Google",Recomendação de um amigo,9
2023/07/31 18:33:44,44,Feminino,Arquitecta,"Aumentar a flexibilidade, Aumentar a massa muscular",A antiga localização ,"Estacionamento gratuito, Simpatia do staff, Mensalidade ",Localizada e pilates ,Instagram,Anterior localização ,5
2023/07/31 18:33:53,47,Feminino,Executiva,"Previnir problemas de saúde, Aumentar a massa muscular, Melhorar a autoestima","O local. Era no centro e favorecia a questão de deslocamento. E o valor, claro.","Estacionamento gratuito, Número de máquinas, Dimensão do espaço",,"Instagram, Facebook, WhatsApp, Google",Recomendação de um amigo,8
2023/07/31 18:35:28,18,Feminino,Estudante,"Aumentar a massa muscular, Melhorar a autoestima",Praticidade de deslocamento e preço,"Pouco tempo de espera para usar as máquinas, Simpatia do staff",,"Instagram, Facebook",Recomendação de um amigo,9
2023/07/31 18:36:14,33,Prefiro não dizer,HR,Aumentar a flexibilidade,Aula em grupo,Horários das aulas de grupo,Zumba,Instagram,Recomendação de um amigo,6
2023/07/31 18:36:39,62,Feminino,Inspetor tributario,"Aumentar a flexibilidade, Recuperar a mobilidade, Acalmar o stress / Razões de Saúde Mental",Preco,"Estacionamento gratuito, Horários das aulas de grupo",Cycling,"Instagram, Facebook, WhatsApp",Recomendação de um amigo,6
2023/07/31 18:36:59,44adm,Feminino,Administrativa,"Perder peso, Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental, Melhorar a autoestima",Localização,"Estacionamento gratuito, Simpatia do staff, Presença de PTs e professores, Aulas de grupo","Pilates,zumba ","Instagram, Facebook, WhatsApp",Parceiros,8
2023/07/31 18:37:03,65,Masculino,aposentado,"Perder peso, Melhorar a autoestima",O local e o pessoal que lá trabalha - PT,"Dimensão do espaço, Horários das aulas de grupo, Simpatia do staff, Presença de PTs e professores",Pilates e cicling,"Instagram, Facebook",Recomendação de um amigo,10
2023/07/31 18:37:24,30,Feminino,Web design,"Perder peso, Previnir problemas de saúde, Aumentar a massa muscular, Melhorar a autoestima",Era o mais perto de casa,"Estacionamento gratuito, Número de máquinas, Dimensão do espaço, Pouco tempo de espera para usar as máquinas, Horários das aulas de grupo, Simpatia do staff, Presença de PTs e professores, Pelo Júlio e pela Lúcia ","Cycling, porém os horários são horríveis, não tem como chegar às 18:30...seria muito mais viável a todos ter uma aula às 19h e outra as 20h","Instagram, WhatsApp",Andando na liberdade ,8
2023/07/31 18:40:40,,Prefiro não dizer,,Perder peso,Perto de casa e não ter fidelização ,"Simpatia do staff, Tudo no geral ",Zumba ( gostava que tivesse power jump),Instagram,Já tinha frequentado ,8
2023/07/31 18:41:55,38,Feminino,Engenheira informática ,"Perder peso, Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental",O fato de não ter fidelidade de 1 ano.,"Dimensão do espaço, Horários das aulas de grupo, Simpatia do staff","Zumba e pilates (faltou perguntar o que pode ser melhorado, então deixo aqui uma observação de que o ginásio é muito quente e causa desconforto durante as atividades físicas)","Instagram, Google, Twitter",Parceiros,8
2023/07/31 18:43:03,60,Feminino,Inspector  tributário,"Perder peso, Aumentar a flexibilidade, Recuperar a mobilidade, Previnir problemas de saúde","A data da minha inscrição (anteriores instalações),por se tratar  do ginásio melhor situado ",Simpatia do staff,"Localizada, 3 B, HIT e GAP",Facebook,Recomendação de um amigo,1
2023/07/31 18:44:43,33,Feminino,,"Perder peso, Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular, Melhorar a autoestima",,"Estacionamento gratuito, Número de máquinas, Condições dos balneários",,Instagram,Recomendação de um amigo,6
2023/07/31 18:44:59,32,,Estilista unhas,"Previnir problemas de saúde, Aumentar a massa muscular",,"Estacionamento gratuito, Dimensão do espaço",,Instagram,Pela antiga localização ,7
2023/07/31 18:45:14,23,Feminino,Trabalhadora-estudante ,"Perder peso, Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular",,"Estacionamento gratuito, Simpatia do staff",Body attack ,"Instagram, Facebook, TikTok, WhatsApp, Google, Twitter",,6
2023/07/31 18:49:51,59,Feminino,Professora,"Recuperar a mobilidade, Previnir problemas de saúde, Melhorar a autoestima",O apoio clínico (PT clínico) em ambiente não    Clínico ou hospitalar.,"Simpatia do staff, Presença de PTs e professores, Possibilidade ‘em personalizar as aulas face às minhas patologias.",Do professor Mateo.,"WhatsApp, Google",Recomendação de um amigo,9
2023/07/31 18:51:47,25,Feminino,Estudante universitária ,"Aumentar a flexibilidade, Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular, Melhorar a autoestima","O facto de ser perto de casa, das modalidades como yoga e body balance, dos profissionais, o espaço e o profissionalismo de todos os profissionais.","Condições dos balneários, Horários das aulas de grupo, Simpatia do staff, Presença de PTs e professores, Bons profissionais ","Body balance, yoga e pilates","Instagram, Facebook, WhatsApp, Google",Recomendação de um amigo,9
2023/07/31 18:59:28,38,Feminino,Gestora,"Perder peso, Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental",A localização na avenida da liberdade e a beleza do espaço que tinha muitas janelas.,"Presença de PTs e professores, Neste momento só faço aula de cycling porque gosto muito das aulas do professor. A nova sala comum é horrível (muito barulhenta)",Cycling,"Instagram, Facebook, TikTok, WhatsApp, Telegram, Google",,6
2023/07/31 19:02:47,39,Feminino,Researcher,"Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular","The gym was very close to my house when it was in the city centre and since I got used to the gym, I decided to continue at the new location ","Número de máquinas, Dimensão do espaço, Simpatia do staff, Presença de PTs e professores",I don't go for group classes ,Instagram,Pesquisa Google,9
2023/07/31 19:04:02,24,Feminino,Designer,Aumentar a massa muscular,Influência de outros sócios ,"Estacionamento gratuito, Número de máquinas, Dimensão do espaço",Não frequento,Instagram,Recomendação de um amigo,7
2023/07/31 19:07:11,59,Masculino,Professor,"Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental",Proximidade,"Dimensão do espaço, Pouco tempo de espera para usar as máquinas, Horários das aulas de grupo, Simpatia do staff",Cycling; Body Attack; localizada; six pac; pump,WhatsApp,Pesquisa Google,7
2023/07/31 19:08:22,35,Feminino,Babysitting ,"Perder peso, Previnir problemas de saúde, Aumentar a massa muscular, Melhorar a autoestima",Localização e marketing ,"Estacionamento gratuito, Número de máquinas, Dimensão do espaço, Condições dos balneários, Pouco tempo de espera para usar as máquinas, Horários das aulas de grupo, Simpatia do staff, Equipamentos especializados, Acompanhamento dado a iniciantes",,"Instagram, Facebook, TikTok, WhatsApp",Pesquisa Google,10
2023/07/31 19:09:25,22,Masculino,Universitário ,Aumentar a massa muscular,Estudava perto,Presença de PTs e professores,,Instagram,Recomendação de um amigo,5
2023/07/31 19:10:09,32,Feminino,Administrativa ,"Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular",Sugestão de amiga e proximidade. ,"Estacionamento gratuito, Dimensão do espaço",Cycling,Instagram,Recomendação de um amigo,8
2023/07/31 19:16:04,21,Feminino,,"Perder peso, Aumentar a massa muscular, Melhorar a autoestima",Localização mais próxima ,"Estacionamento gratuito, Número de máquinas, Dimensão do espaço",,"Instagram, WhatsApp",Instagram,8
2023/07/31 19:20:59,40 anos ,Feminino,Acabadora,Previnir problemas de saúde,"Escolhi o liberty por ser perto da minha casa!
 Mesmo que o ginásio tenha mudado para outro lugar ainda vale a pena.","Estacionamento gratuito, Número de máquinas, Dimensão do espaço, Horários das aulas de grupo, Simpatia do staff, Equipamentos especializados, Presença de PTs e professores",Localizada e cycling ,"Instagram, Facebook, TikTok, WhatsApp",Recomendação de um amigo,9
2023/07/31 19:21:16,36,Feminino,Restauração ,"Perder peso, Previnir problemas de saúde","Quando me inscrevi, à muitos anos atrás, a centralidade. Neste momento, mantenho me nas vossas instalações, devido a determinadas pessoas ainda se manterem aí. Quando falo em pessoas, falo na ""família liberty"".","Horários das aulas de grupo, Simpatia do staff, Presença de PTs e professores, E a ""família "" que foi criada ao longo dos anos!","Cross, cycling, pump, hiit, attack!","Instagram, Facebook, WhatsApp, Google","Desde que ainda estavam em obras, no centro!",7
2023/07/31 19:21:42,30,Feminino,Fisioterapeuta ,"Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular, Melhorar a autoestima","Localização (quando era no centro da cidade), agora mantenho-me pelo staff ","Estacionamento gratuito, Dimensão do espaço, Simpatia do staff, Presença de PTs e professores, Valorizo muito as aulas de grupo, mas neste momento são pouquíssimas ","GAP, Body Pump, Localizada, Pilates","Instagram, WhatsApp","Por localização do espaço anterior, via de passagem",5
2023/07/31 19:27:57,34,Masculino,Fisioterapeuta,"Recuperar a mobilidade, Previnir problemas de saúde, Aumentar a massa muscular",Ter ginásio e crosstraing num só local.,Crosstraing,Crosstraing,"Instagram, Facebook, WhatsApp, Telegram",Recomendação de um amigo,2
2023/07/31 19:30:20,36,Masculino,Programador Informático,"Aumentar a flexibilidade, Recuperar a mobilidade, Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular",Localização ,"Número de máquinas, Dimensão do espaço",,Google,Recomendação de um amigo,7
2023/07/31 19:30:52,25,Feminino,Dentista ,Aumentar a massa muscular,Localização ,"Estacionamento gratuito, Número de máquinas, Dimensão do espaço, Condições dos balneários, Simpatia do staff, Presença de PTs e professores",,"Instagram, WhatsApp",Recomendação de um amigo,9
2023/07/31 19:40:05,29,Feminino,,"Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental",,Horários das aulas de grupo,"Body attack, cycling e 3B",,Localização no centro ,5
2023/07/31 19:40:41,43,Masculino,Empresário ,Aumentar a massa muscular,Localização ,"Estacionamento gratuito, Horários das aulas de grupo",Hitt e CrossFit ,WhatsApp,Pesquisa Google,2
2023/07/31 19:41:13,31,Feminino,Data Scientist,"Perder peso, Aumentar a massa muscular, Melhorar a autoestima",Boa localização,"Dimensão do espaço, Simpatia do staff",,"Instagram, WhatsApp",Recomendação de um amigo,6
2023/07/31 19:46:52,63,Feminino,Reformada,"Aumentar a flexibilidade, Previnir problemas de saúde, Aumentar a massa muscular","Proximidade (quando era na Avenida da Liberdade, depois por gostar e já estar habituada).","Número de máquinas, Dimensão do espaço, Condições dos balneários, Pouco tempo de espera para usar as máquinas, Horários das aulas de grupo, Simpatia do staff, Presença de PTs e professores","Ciclismo, localizada e pilates","Facebook, WhatsApp",Por conhecimento direto ,10
2023/07/31 19:48:19,44,Masculino,Emp. Mesa,"Perder peso, Aumentar a flexibilidade, Aumentar a massa muscular, Melhorar a autoestima","Ja ti ha frequentado antes,e qdpensei em voltar, procurei de novo o liberty","Estacionamento gratuito, Número de máquinas, Dimensão do espaço, Condições dos balneários, Pouco tempo de espera para usar as máquinas, Simpatia do staff, Presença de PTs e professores",Não ,"Instagram, Facebook, WhatsApp",Recomendação de um amigo,9
2023/07/31 19:48:41,46,Masculino,,"Perder peso, Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular, Melhorar a autoestima",Preço e distância ,Estacionamento gratuito,Pilates,Facebook,Era perto de casa,3
2023/07/31 19:54:48,34,Feminino,Suporte técnico ,"Previnir problemas de saúde, Aumentar a massa muscular","Apenas por causa de instrutores antigos vindo do “verdadeiro” Liberty. E claro, pela mensalidade antiga que actualmente tenho. ",Estacionamento gratuito,Cycling & Body Attack ,Instagram,1º Liberty ,2
2023/07/31 19:56:40,18,Masculino,Estudante,Aumentar a massa muscular,,"Condições dos balneários, Simpatia do staff, Equipamentos especializados",,"Instagram, TikTok, WhatsApp, Google, Twitter",Recomendação de um amigo,7
2023/07/31 20:01:35,46,Feminino,Terapeuta medicina chinesa ,"Previnir problemas de saúde, Aumentar a massa muscular","O motivo da minha inscrição na altura da abertura do Liberty , foi toda a dedicação e respeito que tenho pelo Sr Francisco ao longo destes 20 anos de ginásio e a excelente localização. 
A minha transladação para este Liberty prende-se exatamente ao mesmo fator. Numa situação diferente não me teria inscrito neste novo espaço. 
",O estacionamento é excelente mas não seria um fator preponderante na minha escolha ,"Pump, Hit, cycling, attack e jump... ",Instagram,,1
2023/07/31 20:10:32,46,Masculino,Cabeleireiro ,Melhorar a autoestima,Amigos de treino ,"Estacionamento gratuito, Dimensão do espaço",,"Instagram, Facebook, WhatsApp",Recomendação de um amigo,7
2023/07/31 20:19:05,33,Feminino,Engenheira,"Aumentar a flexibilidade, Recuperar a mobilidade, Acalmar o stress / Razões de Saúde Mental",os professores / aulas disponiveis ,"Dimensão do espaço, Condições dos balneários, Horários das aulas de grupo","pilates, localizada, pump, cycling",Instagram,Recomendação de um amigo,2
2023/07/31 20:28:12,31,Prefiro não dizer,IT,Aumentar a massa muscular,Amiga PT no ginásio ,Simpatia do staff,Não frequento ,Google,Recomendação de um amigo,6
2023/07/31 20:30:02,43,Feminino,Nutricionista ,"Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular",A localização quando era no centro ,Estacionamento gratuito,Atack e pilates ,"Instagram, WhatsApp",Localização ,7
2023/07/31 20:44:51,63,Masculino,Reformado,"Aumentar a flexibilidade, Previnir problemas de saúde, Melhorar a autoestima",Professores. ,"Horários das aulas de grupo, Simpatia do staff, Presença de PTs e professores","Cycling, pilates e gap","Facebook, WhatsApp, Google",Pela localização quando estavam na av. Liberdade. ,8
2023/07/31 20:52:04,28,Masculino,Engenheiro Informático,"Perder peso, Aumentar a massa muscular","O principal motivo foi a proximidade da minha morada, era bem perto. Mas depois que me inscrevi passei a gostar do ambiente, máquinas e oferta de aulas (apesar de não frequentar).","Número de máquinas, Dimensão do espaço, Equipamentos especializados, O Open Box é uma excelente adição ai ginásio",,Instagram,Passava todos os dias na frente do ginásio,9
2023/07/31 20:54:31,22,Masculino,Contabilista,"Perder peso, Aumentar a flexibilidade, Previnir problemas de saúde, Aumentar a massa muscular, Melhorar a autoestima",mais próximo de casa,"Estacionamento gratuito, Dimensão do espaço",Yoga,"Instagram, TikTok, WhatsApp, Google, Twitter",Recomendação de um amigo,6
2023/07/31 21:05:22,36,Feminino,Enfermeira ,"Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental, Melhorar a autoestima","Localização(quando era no centro)
Manter a minha ""segunda casa"" no momento",Equipamentos especializados,"Crosstraining, hitt","Instagram, Facebook, WhatsApp",Frequentava anterior liberty,2
2023/07/31 21:08:06,60,Masculino,Professor reformado.,"Previnir problemas de saúde, Aumentar a massa muscular",Localização (sou da época da Av. da Liberdade) e equipamentos. ,"Dimensão do espaço, Condições dos balneários, Pouco tempo de espera para usar as máquinas, Simpatia do staff",Não frequento. ,Instagram,Recomendação de um amigo,9
2023/07/31 21:18:14,42,Feminino,Bancária ,"Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental",Localização ,Estacionamento gratuito,,Instagram,Instagram,4
2023/07/31 21:19:02,56,Feminino,Reformada,"Previnir problemas de saúde, Aumentar a massa muscular","No caso da primeira Liberty, foi a localização. ","Dimensão do espaço, Pouco tempo de espera para usar as máquinas, Simpatia do staff",Pilates,Instagram,Pesquisa Google,8
2023/07/31 21:20:46,35,Masculino,Administrativo,"Perder peso, Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental, Melhorar a autoestima",Quando abriu tinha um mapa de aulas apelativo,"Dimensão do espaço, Horários das aulas de grupo, Simpatia do staff",Body Attack e Body Pump,"Instagram, Facebook, WhatsApp, Google, Twitter",Ja sou socio à muito tempo,7
2023/07/31 21:23:50,31,Masculino,Engenheiro informático ,Aumentar a massa muscular,,"Estacionamento gratuito, Número de máquinas, Dimensão do espaço, Condições dos balneários, Simpatia do staff",,"Instagram, Facebook, WhatsApp, Google",Parceiros,10
2023/07/31 21:35:42,33,Feminino,Enfermeira ,"Acalmar o stress / Razões de Saúde Mental, Melhorar a autoestima",Proximidade de casa e trabalho ,"Estacionamento gratuito, Horários das aulas de grupo, Equipamentos especializados",Hiit pilates localizada,"Instagram, Facebook",Recomendação de um amigo,10
2023/07/31 21:36:29,32,Feminino,Contabilista ,"Perder peso, Aumentar a massa muscular","O que me levou a escolher o Liberty foi as condições do ginásio ( boa limpeza , máquina novas) e a variedade e dos horários das aulas de grupo ","Estacionamento gratuito, Simpatia do staff, Valorizava as aulas de grupo que eram diversificadas e os horários que eram adaptados a todos quem saia as 18h consegui ir fazer as aulas das 18:30 e quem saia as 19h consegui ir fazer as aulas às 19:30, aos dias de hoje foram retiradas imensas aulas ( Pump) e foram alterados horários para as 18:15, o que faz com que seja impossível chegar ás aulas.","Localizada, Pump, pilates, glúteos",Instagram,Instagram,7
2023/07/31 21:38:27,57,Masculino,Enfermeiro,"Perder peso, Previnir problemas de saúde, Aumentar a massa muscular",Localização ,"Estacionamento gratuito, Simpatia do staff, Acompanhamento dado a iniciantes, Presença de PTs e professores",,"Instagram, Facebook, WhatsApp, Google",Recomendação de um amigo,8
2023/07/31 21:39:01,38,Masculino,Recepcionista,"Perder peso, Recuperar a mobilidade, Previnir problemas de saúde",Boas referências de outros membros ,"Simpatia do staff, Equipamentos especializados",Crosstraining plus45 localizada,"Instagram, Facebook, WhatsApp, Telegram",Recomendação de um amigo,10
2023/07/31 21:48:58,29,Feminino,Designer ,Aumentar a massa muscular,Preço ,"Estacionamento gratuito, Dimensão do espaço, Pouco tempo de espera para usar as máquinas",,Instagram,Pesquisa Google,10
2023/07/31 21:52:18,35,Masculino,Informática,"Perder peso, Aumentar a flexibilidade, Previnir problemas de saúde, Aumentar a massa muscular","Solinca, Gymtonico","Estacionamento gratuito, Simpatia do staff, Presença de PTs e professores",,"Instagram, Facebook, TikTok, WhatsApp, Telegram, Google",Recomendação de um amigo,7
2023/07/31 22:00:02,50,Feminino,Chef de cozinha ,Aumentar a massa muscular,Perto do trabalho ,Simpatia do staff,,"Instagram, WhatsApp",Recomendação de um amigo,9
2023/07/31 22:01:33,49,Masculino,gestor,"Perder peso, Aumentar a flexibilidade",Boa relação qualidade/preço,"Número de máquinas, Horários das aulas de grupo, Simpatia do staff",cycling,"Instagram, Facebook, WhatsApp, Google",Recomendação de um amigo,8
2023/07/31 22:11:38,35,Feminino,,"Perder peso, Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular, Melhorar a autoestima",Preço,,Body attack e body pump,"Instagram, WhatsApp",,3
2023/07/31 22:12:31,50,Feminino,,"Previnir problemas de saúde, Aumentar a massa muscular","Era um ginásio central e familiar!
Agora não é.","Estacionamento gratuito, Presença de PTs e professores",Cross e cycing   Mas fizeram o favor de tirar o Cross ,"Instagram, Facebook, WhatsApp, Google",Conhecia o espaço ,1
2023/07/31 22:38:22,73 anos em 5 Agosto 2023,Masculino,Aposentado da G.N.R.,"Aumentar a flexibilidade, Previnir problemas de saúde, Aumentar a massa muscular",É o primeiro ginásio que me escrevi,"Estacionamento gratuito, Número de máquinas, Dimensão do espaço, Condições dos balneários, Pouco tempo de espera para usar as máquinas, Horários das aulas de grupo, Simpatia do staff, Equipamentos especializados, Acompanhamento dado a iniciantes, Presença de PTs e professores",Cycling ,Google,Não havia ginasio q.m.inscrevi,10
2023/07/31 22:46:32,34,Masculino,Administrativo,"Perder peso, Aumentar a flexibilidade",Proximidade e as aulas de CrossFit que infelizmente se lembraram de acabar! ,Estacionamento gratuito,CrossFit ,"Instagram, WhatsApp",Recomendação de um amigo,7
2023/07/31 22:46:43,,,,,,,,,,
2023/07/31 23:01:29,29,Feminino,Farmacêutica,"Previnir problemas de saúde, Aumentar a massa muscular, Melhorar a autoestima",Localização (quando era na avenida da liberdade),"Horários das aulas de grupo, Simpatia do staff, Presença de PTs e professores","Body Pump, cycling e localizada",Instagram,Recomendação de um amigo,9
2023/07/31 23:04:07,27,Masculino,Psicólogo ,"Perder peso, Aumentar a flexibilidade, Recuperar a mobilidade, Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular, Melhorar a autoestima","Qualidade, simpatia, fácil acesso ","Estacionamento gratuito, Dimensão do espaço, Pouco tempo de espera para usar as máquinas, Simpatia do staff, Presença de PTs e professores",,"Instagram, Facebook, TikTok, WhatsApp, Twitter",Parceiros,10
2023/07/31 23:24:40,60,Masculino,Reformado ,"Previnir problemas de saúde, Aumentar a massa muscular",Já era sócio na antiga unidade no Centro. Foram a localização e facilidade de acesso os atrativos iniciais. ,"Estacionamento gratuito, Número de máquinas, Dimensão do espaço, Pouco tempo de espera para usar as máquinas, Simpatia do staff",Express de abdomem. ,WhatsApp,Procura pessoal. ,10
2023/07/31 23:26:53,,,,"Aumentar a flexibilidade, Previnir problemas de saúde",A sua anterior localização ,"Pouco tempo de espera para usar as máquinas, Simpatia do staff, Equipamentos especializados, Conhecimento do staff e usuários ",,,,8
2023/07/31 23:32:15,43,Feminino,Store manager ,Acalmar o stress / Razões de Saúde Mental,"Ambiente familiar que o ginásio tinha, entre alunos e os profissionais. ","Horários das aulas de grupo, Simpatia do staff","Hit, cycling, pump ",Instagram,Já era cliente ,2
2023/07/31 23:37:35,51,Feminino,Professora,"Aumentar a flexibilidade, Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular",Localização.,"Estacionamento gratuito, Horários das aulas de grupo, Simpatia do staff, Presença de PTs e professores","Pilates. localizada, GAP, Glúteos six Pack","Facebook, WhatsApp, Google",Recomendação de um amigo,10
2023/07/31 23:57:19,51,Feminino,Professora,"Perder peso, Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental, Aumentar a massa muscular",A localização no centro da cidade (na altura em que me inscrevi),"Estacionamento gratuito, Número de máquinas, Simpatia do staff, Ambiente agradável ",,Instagram,localização perto do meu emprego,8
2023/08/01 00:00:36,47,Feminino,Professora,"Aumentar a flexibilidade, Previnir problemas de saúde, Aumentar a massa muscular",Já frequentava o LIBERTY nas instalações anteriores.,"Estacionamento gratuito, Horários das aulas de grupo, Simpatia do staff","Pilates, zumba e cycling","Instagram, Facebook, WhatsApp",Conhecia o espaço anterior.,10
